Section,Depth,Bioturbation Percentage,II,BI
section_1,2.242018414444577,0.0,1,0
section_1,6.726055243333732,0.8741935483870967,1,0
section_1,11.210092072222887,24.476344086021513,3,2
section_1,15.694128901112041,65.27849462365592,5,4
section_1,20.178165730001197,72.27741935483871,5,4
section_1,24.66220255889035,64.53655913978497,5,4
section_1,29.146239387779506,65.61075268817203,5,4
section_1,33.63027621666866,61.75161290322583,5,4
section_1,38.114313045557815,17.254838709677426,3,2
section_1,42.59834987444697,42.43870967741934,4,3
section_1,47.08238670333613,23.980645161290337,3,2
section_1,51.56642353222528,13.73978494623656,3,2
section_1,56.05046036111443,19.18279569892473,3,2
section_1,60.534497190003584,18.110752688172038,3,2
section_1,65.01853401889274,0.35483870967741943,1,0
section_1,69.5025708477819,10.801075268817204,3,2
section_1,73.98660767667106,5.586021505376343,2,2
section_1,78.4706445055602,8.534408602150537,2,2
section_1,82.95468133444936,12.419354838709676,3,2
section_1,87.43871816333852,11.629032258064514,3,2
section_1,91.92275499222767,4.2505376344086,2,1
section_1,96.40679182111683,2.7698924731182797,2,1
section_1,100.89082865000599,3.527956989247312,2,1
section_1,105.37486547889513,2.8698924731182793,2,1
section_1,109.85890230778429,0.7795698924731184,1,0
section_1,114.34293913667344,2.498924731182795,2,1
section_1,118.8269759655626,0.0,1,0
section_1,123.31101279445176,0.17204301075268819,1,0
section_1,127.7950496233409,0.18602150537634407,1,0
section_1,132.27908645223008,0.0,1,0
section_1,136.76312328111922,0.7526881720430105,1,0
section_1,141.24716011000837,0.278494623655914,1,0
section_1,145.7311969388975,0.0,1,0
section_1,150.21523376778669,0.08602150537634408,1,0
section_1,154.69927059667583,0.08602150537634408,1,0
section_1,159.18330742556498,0.0,1,0
section_1,163.66734425445415,20.986021505376343,3,2
section_1,168.1513810833433,16.37956989247313,3,2
section_1,172.63541791223244,38.465591397849465,3,3
section_1,177.11945474112161,43.751612903225826,4,3
section_1,181.60349157001076,27.011827956989247,3,2
section_1,186.0875283988999,11.091397849462362,3,2
section_1,190.57156522778908,16.462365591397848,3,2
section_1,195.05560205667823,1.9462365591397854,2,1
section_1,199.53963888556737,11.53870967741936,3,2
section_1,204.02367571445654,22.402150537634387,3,2
section_1,208.5077125433457,7.1311827956989235,2,2
section_1,212.99174937223484,7.959139784946237,2,2
section_1,217.475786201124,2.561290322580644,2,1
section_1,221.95982303001315,0.2258064516129032,1,0
section_1,226.4438598589023,0.1881720430107527,1,0
section_1,230.92789668779147,0.38279569892473114,1,0
section_1,235.41193351668062,0.17849462365591398,1,0
section_1,239.89597034556976,1.7795698924731183,2,1
section_1,244.38000717445894,1.1010752688172045,2,1
section_1,248.86404400334808,30.068817204301073,3,2
section_1,253.34808083223723,10.009677419354837,3,2
section_1,257.8321176611264,50.46881720430108,4,3
section_1,262.31615449001555,94.28172043010748,5,5
section_1,266.8001913189047,99.97204301075269,5,5
section_1,271.28422814779384,99.74516129032257,5,5
section_1,275.768264976683,97.87096774193549,5,5
section_1,280.2523018055722,75.09032258064515,5,4
section_1,284.73633863446133,57.93010752688173,4,3
section_1,289.2203754633505,30.566666666666666,3,2
section_1,293.7044122922396,42.662365591397844,4,3
section_1,298.18844912112877,14.278494623655913,3,2
section_1,302.6724859500179,18.69247311827957,3,2
section_1,307.1565227789071,28.684946236559146,3,2
section_1,311.64055960779626,17.780645161290323,3,2
section_1,316.1245964366854,27.497849462365583,3,2
section_1,320.60863326557455,25.193548387096772,3,2
section_1,325.0926700944637,0.0,1,0
section_1,329.57670692335284,2.4021505376344088,2,1
section_1,334.06074375224205,0.3010752688172043,1,0
section_1,338.5447805811312,0.03978494623655914,1,0
section_1,343.02881741002034,2.730107526881721,2,1
section_1,347.5128542389095,2.3774193548387093,2,1
section_1,351.99689106779863,0.5688172043010752,1,0
section_1,356.4809278966878,2.680645161290322,2,1
section_1,360.964964725577,2.020430107526882,2,1
section_1,365.4490015544661,4.727956989247314,2,1
section_1,369.93303838335527,2.9225806451612897,2,1
section_1,374.4170752122444,7.161290322580642,2,2
section_1,378.90111204113356,21.047311827956978,3,2
section_1,383.3851488700227,20.464516129032262,3,2
section_1,387.86918569891185,29.101075268817205,3,2
section_1,392.35322252780105,32.61397849462369,3,3
section_1,396.8372593566902,11.717204301075261,3,2
section_1,401.32129618557934,8.721505376344085,2,2
section_1,405.8053330144685,32.276344086021524,3,3
section_1,410.28936984335763,16.304301075268807,3,2
section_1,414.7734066722468,4.020430107526881,2,1
section_1,419.257443501136,2.0021505376344084,2,1
section_1,423.7414803300251,15.08172043010754,3,2
section_1,428.2255171589143,7.5086021505376355,2,2
section_1,432.7095539878034,1.1870967741935488,2,1
section_1,437.19359081669256,0.0,1,0
section_1,441.6776276455817,0.0,1,0
section_1,446.1616644744709,5.161290322580642,2,2
section_1,450.64570130336006,0.0,1,0
section_1,455.1297381322492,0.0,1,0
section_1,459.61377496113835,1.3838709677419354,2,1
section_1,464.0978117900275,5.539784946236558,2,2
section_1,468.58184861891664,3.53010752688172,2,1
section_1,473.06588544780584,3.524731182795699,2,1
section_1,477.549922276695,3.5129032258064528,2,1
section_1,482.03395910558413,0.0,1,0
section_1,486.5179959344733,16.18172043010753,3,2
section_1,491.0020327633624,17.902150537634416,3,2
